fusedyear,fusedmonth,fusedday,fusedhour,toplam_yolcu
2020,2,9,5,306
2020,2,9,6,1383
2020,2,9,7,2636
2020,2,9,8,4379
2020,2,9,9,4662
2020,2,9,10,5368
2020,2,9,11,6840
2020,2,9,12,10075
2020,2,9,13,12858
2020,2,9,14,13557
2020,2,9,15,13506
2020,2,9,16,13694
2020,2,9,17,14891
2020,2,9,18,14992
2020,2,9,19,12338
2020,2,9,20,8670
2020,2,9,21,6711
2020,2,9,22,5116
2020,2,9,23,2850
2020,2,10,0,112
2020,2,10,1,9
2020,2,10,2,1
2020,2,10,3,2
2020,2,10,5,476
2020,2,10,6,5664
2020,2,10,7,22422
2020,2,10,9,13464
2020,2,10,10,9440
2020,2,10,11,9506
2020,2,10,12,10747
2020,2,10,13,10884
2020,2,10,14,11856
2020,2,10,15,15012
2020,2,10,16,18475
2020,2,10,19,17376
2020,2,10,20,9041
2020,2,10,21,5946
2020,2,10,22,4757
2020,2,10,23,2291
2020,2,11,0,104
2020,2,11,1,4
2020,2,11,2,3
2020,2,11,3,4
2020,2,11,5,453
2020,2,11,6,5694
2020,2,11,9,15529
2020,2,11,10,10393
2020,2,11,11,10299
2020,2,11,12,11576
2020,2,11,13,11918
2020,2,11,14,12120
2020,2,11,15,15929
2020,2,11,16,19406
2020,2,11,19,20233
2020,2,11,20,10378
2020,2,11,21,6977
2020,2,11,22,6098
2020,2,11,23,3445
2020,2,12,0,117
2020,2,12,1,18
2020,2,12,2,7
2020,2,12,3,22
2020,2,12,4,12
2020,2,12,5,458
2020,2,12,6,5590
2020,2,12,7,22507
2020,2,12,9,14500
2020,2,12,10,9650
2020,2,12,11,10026
2020,2,12,12,11631
2020,2,12,13,11989
2020,2,12,14,12481
2020,2,12,15,15919
2020,2,12,16,19849
2020,2,12,19,18373
2020,2,12,20,9501
2020,2,12,21,6681
2020,2,12,22,5676
2020,2,12,23,3300
2020,2,13,0,102
2020,2,13,1,10
2020,2,13,2,10
2020,2,13,3,4
2020,2,13,4,8
2020,2,13,5,444
2020,2,13,6,5455
2020,2,13,7,22025
2020,2,13,9,14462
2020,2,13,10,10083
2020,2,13,11,10282
2020,2,13,12,11911
2020,2,13,13,11821
2020,2,13,14,12402
2020,2,13,15,16351
2020,2,13,16,19182
2020,2,13,19,18774
2020,2,13,20,10195
2020,2,13,21,6900
2020,2,13,22,5848
2020,2,13,23,3088
2020,2,14,0,102
2020,2,14,1,4
2020,2,14,2,4
2020,2,14,3,2
2020,2,14,4,1
2020,2,14,5,472
2020,2,14,6,5519
2020,2,14,7,21548
2020,2,14,9,13955
2020,2,14,10,10233
2020,2,14,11,10333
2020,2,14,12,12522
2020,2,14,13,11703
2020,2,14,14,13123
2020,2,14,15,17418
2020,2,14,16,21867
2020,2,14,19,22679
2020,2,14,20,13122
2020,2,14,21,8556
2020,2,14,22,7280
2020,2,14,23,4882
2020,2,15,0,2207
2020,2,15,1,1253
2020,2,15,2,726
2020,2,15,3,377
2020,2,15,4,229
2020,2,15,5,417
2020,2,15,6,2595
2020,2,15,7,6625
2020,2,15,8,10410
2020,2,15,9,8625
2020,2,15,10,7761
2020,2,15,11,9609
2020,2,15,12,13829
2020,2,15,13,16902
2020,2,15,14,17911
2020,2,15,15,17122
2020,2,15,16,17743
2020,2,15,17,19981
2020,2,15,18,20172
2020,2,15,19,15670
2020,2,15,20,10149
2020,2,15,21,7506
2020,2,15,22,6883
2020,2,15,23,4195
2020,2,16,0,1884
2020,2,16,1,1286
2020,2,16,2,745
2020,2,16,3,415
2020,2,16,4,276
2020,2,16,5,285
2020,2,16,6,1268
2020,2,16,7,2607
2020,2,16,8,4367
2020,2,16,9,4905
2020,2,16,10,5550
2020,2,16,11,7332
2020,2,16,12,10621
2020,2,16,13,13318
2020,2,16,14,14163
2020,2,16,15,14255
2020,2,16,16,14125
2020,2,16,17,14962
2020,2,16,18,14842
2020,2,16,19,12000
2020,2,16,20,8244
2020,2,16,21,6684
2020,2,16,22,5153
2020,2,16,23,2649
2020,2,17,0,100
2020,2,17,1,4
2020,2,17,2,5
2020,2,17,3,1
2020,2,17,5,523
